CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-13 08:01:57,30175,6989.0,2014-02-13 08:01:58,2014-02-13 08:03:21,97
2014-02-13 08:02:36,30175,8393.0,2014-02-13 08:02:37,2014-02-13 08:03:04,97
2014-02-13 08:03:02,30560,8189.0,2014-02-13 08:03:03,2014-02-13 08:05:22,71
2014-02-13 08:03:46,30560,8076.0,2014-02-13 08:03:46,2014-02-13 08:04:08,71
2014-02-13 08:03:55,30560,8594.0,2014-02-13 08:03:56,2014-02-13 08:05:26,71
2014-02-13 08:04:02,30175,9502.0,2014-02-13 08:04:03,2014-02-13 08:08:14,97
2014-02-13 08:05:07,30560,6940.0,2014-02-13 08:05:08,2014-02-13 08:11:57,71
2014-02-13 08:05:13,30560,8749.0,2014-02-13 08:05:14,2014-02-13 08:05:32,71
2014-02-13 08:05:16,30175,9423.0,2014-02-13 08:05:17,2014-02-13 08:07:46,97
2014-02-13 08:05:32,30175,9425.0,2014-02-13 08:05:33,2014-02-13 08:10:31,97
2014-02-13 08:05:41,30172,8861.0,2014-02-13 08:05:42,2014-02-13 08:06:59,67
2014-02-13 08:06:07,30560,6935.0,2014-02-13 08:06:08,2014-02-13 08:11:18,71
2014-02-13 08:06:27,30560,8483.0,2014-02-13 08:06:28,2014-02-13 08:10:41,71
2014-02-13 08:06:29,30560,7531.0,2014-02-13 08:06:30,2014-02-13 08:08:24,71
2014-02-13 08:07:03,30560,8393.0,2014-02-13 08:07:04,2014-02-13 08:15:37,71
2014-02-13 08:07:20,30560,6989.0,2014-02-13 08:07:21,2014-02-13 08:10:24,71
2014-02-13 08:07:38,30560,8392.0,2014-02-13 08:07:39,2014-02-13 08:08:21,71
2014-02-13 08:08:58,30172,8076.0,2014-02-13 08:08:59,2014-02-13 08:12:26,67
2014-02-13 08:09:19,30560,8189.0,2014-02-13 08:09:19,2014-02-13 08:16:21,71
2014-02-13 08:09:44,30175,9508.0,2014-02-13 08:09:45,2014-02-13 08:12:05,97
2014-02-13 08:10:29,30560,8594.0,2014-02-13 08:10:30,2014-02-13 08:12:25,71
2014-02-13 08:11:16,30560,8749.0,2014-02-13 08:11:17,2014-02-13 08:11:29,71
2014-02-13 08:11:34,30560,8861.0,2014-02-13 08:11:35,2014-02-13 08:12:05,71
2014-02-13 08:11:46,30560,8392.0,2014-02-13 08:11:47,2014-02-13 08:12:25,71
2014-02-13 08:12:10,30560,7531.0,2014-02-13 08:12:11,2014-02-13 08:16:06,71
2014-02-13 08:12:41,30560,6989.0,2014-02-13 08:12:42,2014-02-13 08:17:11,71
2014-02-13 08:12:48,30172,8483.0,2014-02-13 08:12:49,2014-02-13 08:14:57,67
2014-02-13 08:12:54,30172,6935.0,2014-02-13 08:12:55,2014-02-13 08:17:57,67
2014-02-13 08:13:08,30172,6940.0,2014-02-13 08:13:09,2014-02-13 08:18:18,67
2014-02-13 08:13:12,30560,8393.0,2014-02-13 08:13:13,2014-02-13 08:16:32,71
2014-02-13 08:13:34,30175,9424.0,2014-02-13 08:13:35,2014-02-13 08:21:45,97
2014-02-13 08:14:18,30175,9512.0,2014-02-13 08:14:19,2014-02-13 08:18:13,97
2014-02-13 08:14:18,30560,8861.0,2014-02-13 08:14:19,2014-02-13 08:15:42,71
2014-02-13 08:14:45,30560,8594.0,2014-02-13 08:14:46,2014-02-13 08:21:45,71
2014-02-13 08:15:47,30175,9423.0,2014-02-13 08:15:48,2014-02-13 08:25:28,97
2014-02-13 08:16:35,30560,8392.0,2014-02-13 08:16:36,2014-02-13 08:16:46,71
