CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-17 08:00:59,30066,6989.0,2014-02-17 08:01:00,2014-02-17 08:01:36,54
2014-02-17 08:01:52,30175,8514.0,2014-02-17 08:01:53,2014-02-17 08:02:42,100
2014-02-17 08:02:02,30066,6940.0,2014-02-17 08:02:03,2014-02-17 08:03:32,54
2014-02-17 08:02:27,30560,8076.0,2014-02-17 08:02:28,2014-02-17 08:04:56,76
2014-02-17 08:02:44,30560,8393.0,2014-02-17 08:02:45,2014-02-17 08:04:18,76
2014-02-17 08:02:48,30175,9423.0,2014-02-17 08:02:49,2014-02-17 08:05:27,100
2014-02-17 08:02:59,30175,9422.0,2014-02-17 08:03:00,2014-02-17 08:04:50,100
2014-02-17 08:03:37,30560,8594.0,2014-02-17 08:03:37,2014-02-17 08:06:36,76
2014-02-17 08:03:45,30172,6949.0,2014-02-17 08:03:46,2014-02-17 08:06:44,75
2014-02-17 08:03:54,30172,7531.0,2014-02-17 08:03:55,2014-02-17 08:06:23,75
2014-02-17 08:04:22,30560,6931.0,2014-02-17 08:04:23,2014-02-17 08:08:50,76
2014-02-17 08:04:32,30179,9575.0,2014-02-17 08:04:33,2014-02-17 08:11:17,91
2014-02-17 08:05:18,30560,6989.0,2014-02-17 08:05:19,2014-02-17 08:09:02,76
2014-02-17 08:05:27,30066,6935.0,2014-02-17 08:05:28,2014-02-17 08:05:54,54
2014-02-17 08:05:30,30560,8514.0,2014-02-17 08:05:31,2014-02-17 08:05:59,76
2014-02-17 08:05:36,30175,6940.0,2014-02-17 08:05:37,2014-02-17 08:05:42,100
2014-02-17 08:05:37,30172,8393.0,2014-02-17 08:05:38,2014-02-17 08:11:17,75
2014-02-17 08:05:46,30560,8076.0,2014-02-17 08:05:47,2014-02-17 08:10:06,76
2014-02-17 08:06:12,30172,6940.0,2014-02-17 08:06:12,2014-02-17 08:10:48,75
2014-02-17 08:07:00,30560,6935.0,2014-02-17 08:07:01,2014-02-17 08:10:10,76
2014-02-17 08:07:01,30175,9422.0,2014-02-17 08:07:02,2014-02-17 08:09:06,100
2014-02-17 08:07:05,30560,8514.0,2014-02-17 08:07:06,2014-02-17 08:08:22,76
2014-02-17 08:07:11,30175,9423.0,2014-02-17 08:07:12,2014-02-17 08:09:23,100
2014-02-17 08:07:41,30172,7531.0,2014-02-17 08:07:42,2014-02-17 08:08:33,75
2014-02-17 08:07:53,30560,8594.0,2014-02-17 08:07:54,2014-02-17 08:13:21,76
2014-02-17 08:08:31,30175,9575.0,2014-02-17 08:08:32,2014-02-17 08:11:28,100
2014-02-17 08:09:11,30066,6949.0,2014-02-17 08:09:12,2014-02-17 08:16:09,54
2014-02-17 08:09:12,30179,6947.0,2014-02-17 08:09:13,2014-02-17 08:09:39,91
2014-02-17 08:09:21,30172,7531.0,2014-02-17 08:09:22,2014-02-17 08:11:28,75
2014-02-17 08:09:46,30560,6931.0,2014-02-17 08:09:47,2014-02-17 08:19:39,76
2014-02-17 08:10:08,30560,6989.0,2014-02-17 08:10:09,2014-02-17 08:12:05,76
2014-02-17 08:10:55,30560,6947.0,2014-02-17 08:10:56,2014-02-17 08:13:52,76
2014-02-17 08:10:59,30560,8076.0,2014-02-17 08:11:00,2014-02-17 08:19:04,76
2014-02-17 08:11:06,30560,6935.0,2014-02-17 08:11:07,2014-02-17 08:15:05,76
2014-02-17 08:11:15,30560,6940.0,2014-02-17 08:11:16,2014-02-17 08:13:53,76
2014-02-17 08:11:25,30172,8393.0,2014-02-17 08:11:26,2014-02-17 08:17:11,75
2014-02-17 08:11:27,30175,9422.0,2014-02-17 08:11:28,2014-02-17 08:16:01,100
2014-02-17 08:11:51,30560,7531.0,2014-02-17 08:11:52,2014-02-17 08:12:36,76
2014-02-17 08:12:18,30560,8514.0,2014-02-17 08:12:19,2014-02-17 08:12:55,76
2014-02-17 08:13:17,30560,6989.0,2014-02-17 08:13:18,2014-02-17 08:16:55,76
2014-02-17 08:13:51,30560,7531.0,2014-02-17 08:13:52,2014-02-17 08:17:49,76
2014-02-17 08:13:56,30560,8514.0,2014-02-17 08:13:57,2014-02-17 08:14:58,76
2014-02-17 08:14:10,30175,9423.0,2014-02-17 08:14:11,2014-02-17 08:18:17,100
2014-02-17 08:14:41,30560,8594.0,2014-02-17 08:14:42,2014-02-17 08:16:50,76
2014-02-17 08:15:03,30172,6947.0,2014-02-17 08:15:04,2014-02-17 08:20:57,75
2014-02-17 08:15:39,30560,6940.0,2014-02-17 08:15:40,2014-02-17 08:21:42,76
2014-02-17 08:16:04,30560,8514.0,2014-02-17 08:16:05,2014-02-17 08:16:34,76
2014-02-17 08:16:07,30175,9575.0,2014-02-17 08:16:08,2014-02-17 08:18:40,100
2014-02-17 08:16:35,30175,6935.0,2014-02-17 08:16:36,2014-02-17 08:19:01,100
2014-02-17 08:16:37,30175,9422.0,2014-02-17 08:16:38,2014-02-17 08:20:01,100
2014-02-17 08:16:38,30066,6949.0,2014-02-17 08:16:39,2014-02-17 08:19:10,54
2014-02-17 08:16:44,30172,8514.0,2014-02-17 08:16:45,2014-02-17 08:17:19,75
2014-02-17 08:16:58,30560,8594.0,2014-02-17 08:16:59,2014-02-17 08:18:40,76
2014-02-17 08:17:20,30172,6989.0,2014-02-17 08:17:21,2014-02-17 08:22:07,75
2014-02-17 08:17:25,30560,8393.0,2014-02-17 08:17:26,2014-02-17 08:21:48,76
2014-02-17 08:17:41,30172,7531.0,2014-02-17 08:17:51,2014-02-17 08:21:06,75
2014-02-17 08:18:14,30175,9575.0,2014-02-17 08:18:15,2014-02-17 08:27:30,100
2014-02-17 08:18:21,30172,8514.0,2014-02-17 08:18:22,2014-02-17 08:18:45,75
2014-02-17 08:18:37,30172,8488.0,2014-02-17 08:18:38,2014-02-17 08:26:11,75
2014-02-17 08:18:45,30175,9423.0,2014-02-17 08:18:46,2014-02-17 08:28:47,100
2014-02-17 08:19:00,30560,8594.0,2014-02-17 08:19:01,2014-02-17 08:24:32,76
2014-02-17 08:19:24,30175,6935.0,2014-02-17 08:19:25,2014-02-17 08:20:07,100
2014-02-17 08:20:17,30560,8076.0,2014-02-17 08:20:18,2014-02-17 08:22:48,76
2014-02-17 08:20:43,30175,6949.0,2014-02-17 08:20:44,2014-02-17 08:22:46,100
2014-02-17 08:21:42,30175,9422.0,2014-02-17 08:21:43,2014-02-17 08:23:13,100
2014-02-17 08:21:44,30175,6935.0,2014-02-17 08:21:45,2014-02-17 08:32:39,100
2014-02-17 08:22:02,30179,8514.0,2014-02-17 08:22:03,2014-02-17 08:22:38,91
2014-02-17 08:22:15,30175,6947.0,2014-02-17 08:22:16,2014-02-17 08:26:49,100
2014-02-17 08:22:25,30560,7531.0,2014-02-17 08:22:26,2014-02-17 08:24:12,76
2014-02-17 08:22:30,30175,6931.0,2014-02-17 08:22:31,2014-02-17 08:29:56,100
2014-02-17 08:22:40,30175,6940.0,2014-02-17 08:22:41,2014-02-17 08:32:12,100
2014-02-17 08:22:51,30172,8393.0,2014-02-17 08:22:52,2014-02-17 08:26:48,75
2014-02-17 08:23:01,30172,6989.0,2014-02-17 08:23:02,2014-02-17 08:27:16,75
2014-02-17 08:23:06,30175,8514.0,2014-02-17 08:23:07,2014-02-17 08:24:08,100
2014-02-17 08:24:08,30172,6949.0,2014-02-17 08:24:08,2014-02-17 08:31:40,75
2014-02-17 08:24:20,30560,8076.0,2014-02-17 08:24:21,2014-02-17 08:32:09,76
2014-02-17 08:24:41,30560,6947.0,2014-02-17 08:24:42,2014-02-17 08:25:23,76
2014-02-17 08:25:00,30175,9422.0,2014-02-17 08:25:01,2014-02-17 08:27:37,100
2014-02-17 08:25:01,30179,7531.0,2014-02-17 08:25:02,2014-02-17 08:29:56,91
2014-02-17 08:25:18,30560,8514.0,2014-02-17 08:25:19,2014-02-17 08:26:04,76
2014-02-17 08:25:21,30175,8594.0,2014-02-17 08:25:22,2014-02-17 08:29:57,100
2014-02-17 08:25:25,30179,8488.0,2014-02-17 08:26:16,2014-02-17 08:30:23,91
2014-02-17 08:25:39,30175,8514.0,2014-02-17 08:26:44,2014-02-17 08:26:55,100
2014-02-17 08:25:41,30172,8393.0,2014-02-17 08:26:54,2014-02-17 08:30:22,75
