CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-18 08:01:23,30560,6944.0,2014-02-18 08:01:24,2014-02-18 08:05:35,64
2014-02-18 08:02:49,30560,6940.0,2014-02-18 08:02:50,2014-02-18 08:07:03,64
2014-02-18 08:03:32,30175,6936.0,2014-02-18 08:03:33,2014-02-18 08:05:18,89
2014-02-18 08:03:51,30175,9424.0,2014-02-18 08:03:52,2014-02-18 08:09:13,89
2014-02-18 08:05:13,30066,8076.0,2014-02-18 08:05:14,2014-02-18 08:08:46,49
2014-02-18 08:05:41,30560,8594.0,2014-02-18 08:05:42,2014-02-18 08:09:48,64
2014-02-18 08:05:51,30560,6947.0,2014-02-18 08:05:52,2014-02-18 08:08:20,64
2014-02-18 08:06:13,30560,7531.0,2014-02-18 08:06:14,2014-02-18 08:09:20,64
2014-02-18 08:06:16,30175,9502.0,2014-02-18 08:06:17,2014-02-18 08:19:46,89
2014-02-18 08:07:36,30172,8392.0,2014-02-18 08:07:37,2014-02-18 08:08:21,64
2014-02-18 08:08:13,30175,9575.0,2014-02-18 08:08:14,2014-02-18 08:12:11,89
2014-02-18 08:09:16,30172,8514.0,2014-02-18 08:09:17,2014-02-18 08:09:37,64
2014-02-18 08:09:17,30172,6944.0,2014-02-18 08:09:18,2014-02-18 08:12:11,64
2014-02-18 08:10:15,30066,6936.0,2014-02-18 08:10:16,2014-02-18 08:14:07,49
2014-02-18 08:10:34,30175,6940.0,2014-02-18 08:10:35,2014-02-18 08:12:56,89
2014-02-18 08:10:53,30175,6935.0,2014-02-18 08:10:54,2014-02-18 08:18:13,89
2014-02-18 08:11:04,30175,8392.0,2014-02-18 08:11:05,2014-02-18 08:17:14,89
2014-02-18 08:12:03,30172,6947.0,2014-02-18 08:12:04,2014-02-18 08:17:38,64
2014-02-18 08:12:21,30172,8076.0,2014-02-18 08:12:22,2014-02-18 08:17:51,64
2014-02-18 08:13:53,30560,7531.0,2014-02-18 08:13:54,2014-02-18 08:16:16,64
2014-02-18 08:14:25,30175,9512.0,2014-02-18 08:14:26,2014-02-18 08:20:58,89
2014-02-18 08:14:41,30175,8514.0,2014-02-18 08:14:42,2014-02-18 08:14:51,89
2014-02-18 08:15:04,30172,8594.0,2014-02-18 08:15:05,2014-02-18 08:18:35,64
2014-02-18 08:15:42,30175,9575.0,2014-02-18 08:15:43,2014-02-18 08:20:22,89
2014-02-18 08:17:24,30560,6944.0,2014-02-18 08:17:25,2014-02-18 08:24:00,64
2014-02-18 08:17:58,30175,6940.0,2014-02-18 08:17:59,2014-02-18 08:20:10,89
2014-02-18 08:18:01,30172,8514.0,2014-02-18 08:18:02,2014-02-18 08:19:00,64
2014-02-18 08:19:12,30175,9424.0,2014-02-18 08:19:13,2014-02-18 08:22:43,89
2014-02-18 08:19:31,30560,8392.0,2014-02-18 08:19:32,2014-02-18 08:26:04,64
2014-02-18 08:19:34,30172,7531.0,2014-02-18 08:19:35,2014-02-18 08:20:55,64
2014-02-18 08:19:38,30560,6947.0,2014-02-18 08:19:39,2014-02-18 08:24:14,64
2014-02-18 08:19:38,30172,8594.0,2014-02-18 08:19:39,2014-02-18 08:21:23,64
2014-02-18 08:19:58,30560,6940.0,2014-02-18 08:20:10,2014-02-18 08:30:47,64
2014-02-18 08:20:03,30560,8076.0,2014-02-18 08:20:17,2014-02-18 08:22:43,64
2014-02-18 08:20:49,30175,9423.0,2014-02-18 08:20:50,2014-02-18 08:22:48,89
2014-02-18 08:21:02,30175,9502.0,2014-02-18 08:21:02,2014-02-18 08:23:37,89
2014-02-18 08:21:31,30560,8594.0,2014-02-18 08:21:32,2014-02-18 08:22:31,64
2014-02-18 08:21:37,30560,8514.0,2014-02-18 08:21:38,2014-02-18 08:21:51,64
2014-02-18 08:21:38,30560,6935.0,2014-02-18 08:21:39,2014-02-18 08:25:09,64
2014-02-18 08:21:50,30560,7531.0,2014-02-18 08:21:52,2014-02-18 08:24:22,64
2014-02-18 08:21:55,30560,8514.0,2014-02-18 08:22:01,2014-02-18 08:22:14,64
2014-02-18 08:22:06,30560,8594.0,2014-02-18 08:22:35,2014-02-18 08:27:53,64
2014-02-18 08:22:18,30175,9575.0,2014-02-18 08:22:19,2014-02-18 08:24:20,89
2014-02-18 08:22:57,30560,8076.0,2014-02-18 08:22:58,2014-02-18 08:29:43,64
2014-02-18 08:23:04,30175,6936.0,2014-02-18 08:23:04,2014-02-18 08:24:15,89
2014-02-18 08:23:17,30172,6944.0,0000-00-00 00:00:00,2014-02-18 08:24:01,64
2014-02-18 08:23:24,30560,0.0,0000-00-00 00:00:00,2014-02-18 08:23:27,64
2014-02-18 08:23:53,30560,6947.0,2014-02-18 08:24:20,2014-02-18 08:27:56,64
2014-02-18 08:23:56,30175,9424.0,2014-02-18 08:23:57,2014-02-18 08:26:28,89
2014-02-18 08:24:17,30560,6944.0,2014-02-18 08:24:18,2014-02-18 08:34:02,64
2014-02-18 08:24:23,30560,7531.0,2014-02-18 08:24:24,2014-02-18 08:28:36,64
2014-02-18 08:24:32,30175,9512.0,2014-02-18 08:24:33,2014-02-18 08:29:28,89
2014-02-18 08:24:56,30172,6936.0,2014-02-18 08:24:56,2014-02-18 08:26:41,64
2014-02-18 08:25:01,30175,9423.0,2014-02-18 08:25:02,2014-02-18 08:27:52,89
2014-02-18 08:25:03,30175,9502.0,2014-02-18 08:25:03,2014-02-18 08:28:15,89
2014-02-18 08:25:14,30560,8514.0,2014-02-18 08:25:15,2014-02-18 08:25:47,64
2014-02-18 08:25:20,30560,6935.0,2014-02-18 08:25:21,2014-02-18 08:29:28,64
2014-02-18 08:25:21,30175,9575.0,2014-02-18 08:25:22,2014-02-18 08:26:50,89
2014-02-18 08:25:31,30175,9512.0,2014-02-18 08:25:54,2014-02-18 08:30:15,89
2014-02-18 08:25:47,30560,8392.0,2014-02-18 08:26:10,2014-02-18 08:26:19,64
2014-02-18 08:26:00,30560,8392.0,2014-02-18 08:26:23,2014-02-18 08:27:07,64
2014-02-18 08:26:38,30175,9424.0,2014-02-18 08:26:39,2014-02-18 08:31:42,89
2014-02-18 08:26:39,30560,8514.0,2014-02-18 08:26:51,2014-02-18 08:26:58,64
2014-02-18 08:26:58,30172,6936.0,2014-02-18 08:26:59,2014-02-18 08:28:08,64
2014-02-18 08:27:07,30172,8514.0,2014-02-18 08:27:08,2014-02-18 08:27:21,64
2014-02-18 08:27:12,30560,8392.0,2014-02-18 08:27:13,2014-02-18 08:31:16,64
2014-02-18 08:27:22,30560,8594.0,2014-02-18 08:27:55,2014-02-18 08:31:42,64
2014-02-18 08:27:23,30179,6947.0,2014-02-18 08:28:02,2014-02-18 08:35:20,74
2014-02-18 08:27:40,30560,7531.0,2014-02-18 08:28:37,2014-02-18 08:36:24,64
2014-02-18 08:27:52,30560,6933.0,2014-02-18 08:29:20,2014-02-18 08:33:49,64
2014-02-18 08:27:55,30179,9424.0,2014-02-18 08:28:15,2014-02-18 08:33:32,74
2014-02-18 08:28:45,30172,6936.0,2014-02-18 08:28:46,2014-02-18 08:42:36,64
2014-02-18 08:28:56,30560,6935.0,2014-02-18 08:29:34,2014-02-18 08:33:32,64
2014-02-18 08:29:01,30560,8076.0,2014-02-18 08:29:45,2014-02-18 08:38:11,64
2014-02-18 08:29:23,30179,9502.0,2014-02-18 08:29:24,2014-02-18 08:40:06,74
2014-02-18 08:29:24,30560,6984.0,2014-02-18 08:30:03,2014-02-18 08:35:36,64
2014-02-18 08:30:08,30175,9575.0,2014-02-18 08:30:09,2014-02-18 08:40:06,89
2014-02-18 08:30:08,30560,9110.0,2014-02-18 08:30:09,2014-02-18 08:32:09,64
2014-02-18 08:30:47,30172,6943.0,2014-02-18 08:30:48,2014-02-18 08:41:08,64
2014-02-18 08:31:57,30560,6940.0,2014-02-18 08:31:58,2014-02-18 08:36:47,64
2014-02-18 08:32:19,30560,8514.0,2014-02-18 08:32:20,2014-02-18 08:36:14,64
2014-02-18 08:32:33,30172,8392.0,2014-02-18 08:32:34,2014-02-18 08:46:05,64
2014-02-18 08:32:41,30172,8594.0,2014-02-18 08:32:42,2014-02-18 08:39:40,64
2014-02-18 08:33:09,30175,9423.0,2014-02-18 08:33:10,2014-02-18 08:36:55,89
2014-02-18 08:33:21,30560,9110.0,2014-02-18 08:33:22,2014-02-18 08:36:24,64
2014-02-18 08:33:21,30175,9434.0,2014-02-18 08:33:22,2014-02-18 08:44:09,89
2014-02-18 08:33:59,30172,6935.0,2014-02-18 08:34:00,2014-02-18 08:38:07,64
2014-02-18 08:34:00,30172,6933.0,2014-02-18 08:34:01,2014-02-18 08:36:40,64
2014-02-18 08:34:06,30175,9424.0,2014-02-18 08:34:07,2014-02-18 08:39:11,89
2014-02-18 08:34:10,30172,6944.0,2014-02-18 08:34:10,2014-02-18 08:37:09,64
2014-02-18 08:34:25,30560,6947.0,2014-02-18 08:35:26,2014-02-18 08:43:42,64
2014-02-18 08:34:32,30172,0.0,0000-00-00 00:00:00,2014-02-18 08:35:28,64
2014-02-18 08:34:43,30175,9515.0,2014-02-18 08:34:44,2014-02-18 08:36:54,89
2014-02-18 08:34:56,30175,9512.0,2014-02-18 08:34:57,2014-02-18 08:35:26,89
2014-02-18 08:35:32,30172,6984.0,2014-02-18 08:35:40,2014-02-18 08:44:09,64
2014-02-18 08:35:58,30175,9502.0,2014-02-18 08:35:59,2014-02-18 08:40:50,89
2014-02-18 08:36:12,30560,6943.0,2014-02-18 08:36:13,2014-02-18 08:39:51,64
2014-02-18 08:36:13,30172,8514.0,2014-02-18 08:36:19,2014-02-18 08:43:16,64
2014-02-18 08:36:58,30175,9512.0,2014-02-18 08:36:59,2014-02-18 08:50:57,89
2014-02-18 08:37:00,30560,9110.0,2014-02-18 08:37:00,2014-02-18 08:39:13,64
2014-02-18 08:37:09,30175,9434.0,2014-02-18 08:37:10,2014-02-18 08:42:52,89
2014-02-18 08:37:12,30175,6933.0,2014-02-18 08:37:13,2014-02-18 08:37:51,89
2014-02-18 08:37:24,30175,6940.0,2014-02-18 08:37:25,2014-02-18 08:43:16,89
2014-02-18 08:38:21,30175,9515.0,2014-02-18 08:38:22,2014-02-18 08:39:33,89
2014-02-18 08:39:53,30560,6944.0,2014-02-18 08:39:53,2014-02-18 08:45:21,64
2014-02-18 08:40:02,30175,9423.0,2014-02-18 08:40:03,2014-02-18 08:42:33,89
2014-02-18 08:40:07,30241,6933.0,2014-02-18 08:40:08,2014-02-18 08:41:51,38
2014-02-18 08:40:35,30179,6935.0,2014-02-18 08:40:36,2014-02-18 08:41:00,74
2014-02-18 08:40:43,30560,8076.0,2014-02-18 08:40:44,2014-02-18 08:54:43,64
2014-02-18 08:40:54,30175,9424.0,2014-02-18 08:40:55,2014-02-18 08:47:50,89
2014-02-18 08:41:05,30175,9110.0,2014-02-18 08:41:06,2014-02-18 08:42:40,89
2014-02-18 08:41:20,30560,8594.0,2014-02-18 08:41:21,2014-02-18 08:42:35,64
2014-02-18 08:41:29,30175,9502.0,2014-02-18 08:41:30,2014-02-18 08:47:52,89
2014-02-18 08:41:36,30560,6943.0,2014-02-18 08:41:37,2014-02-18 08:49:58,64
2014-02-18 08:41:40,30560,6935.0,2014-02-18 08:41:41,2014-02-18 08:45:49,64
2014-02-18 08:41:46,30172,7531.0,2014-02-18 08:41:47,2014-02-18 08:44:49,64
2014-02-18 08:42:16,30560,6933.0,2014-02-18 08:42:17,2014-02-18 08:44:34,64
2014-02-18 08:42:18,30172,8594.0,2014-02-18 08:42:37,2014-02-18 08:44:04,64
2014-02-18 08:42:40,30560,9110.0,2014-02-18 08:42:46,2014-02-18 08:49:02,64
2014-02-18 08:42:43,30172,6936.0,2014-02-18 08:42:44,2014-02-18 08:52:25,64
2014-02-18 08:42:59,30175,9515.0,2014-02-18 08:43:00,2014-02-18 08:47:03,89
2014-02-18 08:43:32,30175,9575.0,2014-02-18 08:43:33,2014-02-18 08:47:41,89
2014-02-18 08:43:54,30172,6940.0,2014-02-18 08:43:55,2014-02-18 08:47:03,64
2014-02-18 08:44:03,30172,8514.0,2014-02-18 08:44:04,2014-02-18 08:44:26,64
2014-02-18 08:44:04,30560,8594.0,2014-02-18 08:44:07,2014-02-18 08:46:09,64
2014-02-18 08:44:22,30560,6984.0,2014-02-18 08:44:23,2014-02-18 08:46:58,64
2014-02-18 08:44:27,30179,9423.0,2014-02-18 08:44:28,2014-02-18 08:45:13,74
2014-02-18 08:44:45,30175,9434.0,2014-02-18 08:44:46,2014-02-18 08:47:29,89
2014-02-18 08:44:54,30175,9515.0,2014-02-18 08:44:55,2014-02-18 08:49:48,89
2014-02-18 08:45:06,30560,6933.0,2014-02-18 08:45:07,2014-02-18 08:49:53,64
2014-02-18 08:45:08,30175,8514.0,2014-02-18 08:45:09,2014-02-18 08:46:22,89
2014-02-18 08:45:10,30172,7531.0,2014-02-18 08:45:11,2014-02-18 08:50:01,64
2014-02-18 08:45:16,30175,9423.0,2014-02-18 08:45:17,2014-02-18 08:49:46,89
2014-02-18 08:45:18,30175,6944.0,0000-00-00 00:00:00,2014-02-18 08:45:23,89
2014-02-18 08:45:30,30175,6944.0,2014-02-18 08:45:31,2014-02-18 08:49:38,89
2014-02-18 08:45:32,30172,6947.0,2014-02-18 08:45:43,2014-02-18 08:47:29,64
2014-02-18 08:45:32,30172,6935.0,2014-02-18 08:45:55,2014-02-18 08:48:42,64
2014-02-18 08:45:52,30560,8392.0,2014-02-18 08:46:11,2014-02-18 09:07:19,64
2014-02-18 08:46:31,30175,8594.0,2014-02-18 08:46:32,2014-02-18 08:51:23,89
2014-02-18 08:46:46,30560,8514.0,2014-02-18 08:46:47,2014-02-18 08:48:18,64
2014-02-18 08:47:15,30560,6984.0,2014-02-18 08:47:16,2014-02-18 08:50:00,64
2014-02-18 08:47:21,30560,6940.0,2014-02-18 08:47:22,2014-02-18 08:50:01,64
2014-02-18 08:47:41,30560,6947.0,2014-02-18 08:47:42,2014-02-18 08:51:48,64
2014-02-18 08:47:44,30175,9434.0,2014-02-18 08:47:45,2014-02-18 08:56:25,89
2014-02-18 08:47:59,30172,8514.0,2014-02-18 08:48:22,2014-02-18 08:50:00,64
2014-02-18 08:48:45,30172,6935.0,2014-02-18 08:48:46,2014-02-18 08:51:32,64
2014-02-18 08:49:14,30560,9110.0,2014-02-18 08:49:15,2014-02-18 08:49:48,64
2014-02-18 08:50:14,30175,9502.0,2014-02-18 08:50:15,2014-02-18 08:54:39,89
2014-02-18 08:50:16,30560,6944.0,2014-02-18 08:50:17,2014-02-18 08:56:42,64
2014-02-18 08:50:21,30172,9110.0,2014-02-18 08:50:22,2014-02-18 08:53:24,64
2014-02-18 08:50:22,30175,9575.0,2014-02-18 08:50:23,2014-02-18 08:52:11,89
2014-02-18 08:50:24,30560,6933.0,2014-02-18 08:50:25,2014-02-18 08:53:33,64
2014-02-18 08:50:56,30172,7531.0,2014-02-18 08:50:57,2014-02-18 08:54:43,64
2014-02-18 08:50:59,30179,9424.0,2014-02-18 08:51:00,2014-02-18 08:52:34,74
2014-02-18 08:51:19,30560,8514.0,2014-02-18 08:51:19,2014-02-18 09:01:25,64
2014-02-18 08:51:57,30172,6940.0,2014-02-18 08:51:58,2014-02-18 08:55:23,64
2014-02-18 08:51:59,30175,9423.0,2014-02-18 08:52:00,2014-02-18 08:56:22,89
2014-02-18 08:52:47,30560,6984.0,2014-02-18 08:52:48,2014-02-18 09:00:22,64
2014-02-18 08:52:52,30172,8594.0,2014-02-18 08:52:53,2014-02-18 08:54:07,64
2014-02-18 08:52:54,30175,9515.0,2014-02-18 08:52:55,2014-02-18 08:54:47,89
2014-02-18 08:53:08,30175,9512.0,2014-02-18 08:53:09,2014-02-18 08:54:03,89
2014-02-18 08:53:32,30172,6935.0,2014-02-18 08:53:33,2014-02-18 08:56:10,64
2014-02-18 08:53:42,30172,6947.0,2014-02-18 08:53:43,2014-02-18 08:57:33,64
2014-02-18 08:54:13,30175,9575.0,2014-02-18 08:54:14,2014-02-18 08:55:02,89
2014-02-18 08:54:32,30175,6936.0,2014-02-18 08:54:33,2014-02-18 08:55:18,89
2014-02-18 08:54:35,30560,9110.0,2014-02-18 08:54:36,2014-02-18 08:56:12,64
2014-02-18 08:54:46,30560,6944.0,2014-02-18 08:54:47,2014-02-18 08:57:48,64
2014-02-18 08:54:48,30175,9424.0,2014-02-18 08:54:49,2014-02-18 08:57:45,89
2014-02-18 08:55:16,30560,6933.0,2014-02-18 08:55:17,2014-02-18 09:01:39,64
2014-02-18 08:55:21,30175,9504.0,2014-02-18 08:55:22,2014-02-18 08:59:02,89
2014-02-18 08:55:38,30179,9512.0,2014-02-18 08:55:39,2014-02-18 09:01:46,74
2014-02-18 08:56:15,30560,8594.0,2014-02-18 08:56:16,2014-02-18 09:03:36,64
2014-02-18 08:56:16,30175,9502.0,2014-02-18 08:56:17,2014-02-18 09:13:44,89
2014-02-18 08:57:02,30066,8076.0,2014-02-18 08:57:03,2014-02-18 09:02:04,49
2014-02-18 08:57:11,30560,7531.0,2014-02-18 08:57:12,2014-02-18 09:01:46,64
2014-02-18 08:57:25,30560,6940.0,2014-02-18 08:57:26,2014-02-18 09:00:37,64
2014-02-18 08:57:27,30560,6935.0,2014-02-18 08:57:28,2014-02-18 09:01:34,64
2014-02-18 08:57:29,30560,9110.0,2014-02-18 08:57:30,2014-02-18 09:02:04,64
2014-02-18 08:57:29,30175,9515.0,2014-02-18 08:57:30,2014-02-18 09:04:01,89
2014-02-18 08:57:48,30560,6947.0,2014-02-18 08:57:49,2014-02-18 08:59:35,64
2014-02-18 08:57:49,30179,6936.0,2014-02-18 08:57:50,2014-02-18 09:00:37,74
2014-02-18 08:58:09,30175,9423.0,2014-02-18 08:58:10,2014-02-18 09:07:09,89
2014-02-18 08:58:27,30175,9434.0,2014-02-18 08:58:28,2014-02-18 09:06:45,89
