CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-06 08:01:06,30175,6989.0,2014-02-06 08:01:07,2014-02-06 08:03:21,100
2014-02-06 08:01:19,30179,6940.0,2014-02-06 08:01:20,2014-02-06 08:02:22,80
2014-02-06 08:01:52,30560,6930.0,2014-02-06 08:01:53,2014-02-06 08:08:55,72
2014-02-06 08:02:05,30175,9424.0,2014-02-06 08:02:06,2014-02-06 08:04:04,100
2014-02-06 08:02:13,30066,8076.0,2014-02-06 08:02:14,2014-02-06 08:10:21,50
2014-02-06 08:02:59,30175,9423.0,2014-02-06 08:03:00,2014-02-06 08:09:00,100
2014-02-06 08:03:02,30175,8514.0,2014-02-06 08:03:02,2014-02-06 08:03:40,100
2014-02-06 08:03:02,30175,8189.0,2014-02-06 08:03:03,2014-02-06 08:06:52,100
2014-02-06 08:03:07,30560,6935.0,2014-02-06 08:03:08,2014-02-06 08:07:02,72
2014-02-06 08:03:31,30179,9508.0,2014-02-06 08:03:32,2014-02-06 08:08:41,80
2014-02-06 08:04:04,30172,8393.0,2014-02-06 08:04:05,2014-02-06 08:05:57,69
2014-02-06 08:04:14,30560,6949.0,2014-02-06 08:04:15,2014-02-06 08:09:35,72
2014-02-06 08:04:31,30560,8861.0,2014-02-06 08:04:32,2014-02-06 08:04:46,72
2014-02-06 08:05:20,30560,6940.0,2014-02-06 08:05:21,2014-02-06 08:06:44,72
2014-02-06 08:05:20,30560,6932.0,2014-02-06 08:05:21,2014-02-06 08:09:41,72
2014-02-06 08:05:47,30560,6989.0,2014-02-06 08:05:48,2014-02-06 08:15:18,72
2014-02-06 08:06:19,30560,8514.0,2014-02-06 08:06:19,2014-02-06 08:10:28,72
2014-02-06 08:06:25,30175,9425.0,2014-02-06 08:06:26,2014-02-06 08:09:24,100
2014-02-06 08:07:06,30172,7531.0,2014-02-06 08:07:07,2014-02-06 08:09:00,69
2014-02-06 08:07:52,30560,8393.0,2014-02-06 08:07:53,2014-02-06 08:10:44,72
2014-02-06 08:08:20,30175,9502.0,2014-02-06 08:08:21,2014-02-06 08:13:04,100
2014-02-06 08:08:29,30175,9424.0,2014-02-06 08:08:30,2014-02-06 08:11:23,100
2014-02-06 08:09:04,30175,9508.0,2014-02-06 08:09:05,2014-02-06 08:13:03,100
2014-02-06 08:09:05,30560,6940.0,2014-02-06 08:09:06,2014-02-06 08:09:28,72
2014-02-06 08:09:28,30175,8189.0,2014-02-06 08:09:29,2014-02-06 08:14:27,100
2014-02-06 08:09:30,30560,6935.0,2014-02-06 08:09:31,2014-02-06 08:13:40,72
2014-02-06 08:09:38,30175,6949.0,2014-02-06 08:09:39,2014-02-06 08:14:40,100
2014-02-06 08:09:52,30175,7823.0,2014-02-06 08:09:53,2014-02-06 08:15:07,100
2014-02-06 08:10:35,30175,8376.0,2014-02-06 08:10:36,2014-02-06 08:11:44,100
2014-02-06 08:10:40,30172,6930.0,2014-02-06 08:10:41,2014-02-06 08:13:03,69
2014-02-06 08:11:32,30175,7531.0,2014-02-06 08:11:33,2014-02-06 08:16:41,100
2014-02-06 08:11:41,30560,7168.0,2014-02-06 08:11:42,2014-02-06 08:15:06,72
2014-02-06 08:12:41,30560,8514.0,2014-02-06 08:12:42,2014-02-06 08:15:12,72
2014-02-06 08:12:42,30175,9423.0,2014-02-06 08:12:43,2014-02-06 08:15:05,100
2014-02-06 08:13:13,30066,6940.0,2014-02-06 08:13:14,2014-02-06 08:16:20,50
2014-02-06 08:15:34,30175,9425.0,2014-02-06 08:15:35,2014-02-06 08:20:49,100
2014-02-06 08:16:12,30179,8861.0,2014-02-06 08:16:13,2014-02-06 08:16:34,80
2014-02-06 08:16:33,30560,6932.0,2014-02-06 08:16:34,2014-02-06 08:18:58,72
2014-02-06 08:18:20,30179,8076.0,2014-02-06 08:18:21,2014-02-06 08:23:11,80
