CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-15 09:05:28,30175,7479.0,2014-02-15 09:05:29,2014-02-15 09:14:01,11
2014-02-15 09:08:09,30172,8514.0,2014-02-15 09:08:10,2014-02-15 09:14:22,10
2014-02-15 09:14:48,30560,8382.0,2014-02-15 09:14:49,2014-02-15 09:27:09,11
2014-02-15 09:20:35,30175,6916.0,2014-02-15 09:20:36,2014-02-15 09:21:09,11
2014-02-15 09:28:43,30175,8514.0,2014-02-15 09:28:44,2014-02-15 09:30:01,11
2014-02-15 09:34:55,30175,7479.0,2014-02-15 09:34:56,2014-02-15 09:39:54,11
2014-02-15 09:45:33,30560,8382.0,2014-02-15 09:45:34,2014-02-15 09:49:31,11
2014-02-15 09:57:57,30175,8514.0,2014-02-15 09:57:58,2014-02-15 10:00:06,11
2014-02-15 10:00:47,30175,6916.0,2014-02-15 10:00:48,2014-02-15 10:01:01,11
2014-02-15 10:01:10,30175,8382.0,2014-02-15 10:01:11,2014-02-15 10:07:40,11
2014-02-15 10:01:48,30175,7479.0,2014-02-15 10:01:49,2014-02-15 10:04:20,11
2014-02-15 10:02:11,30560,0.0,0000-00-00 00:00:00,2014-02-15 10:02:30,11
2014-02-15 10:03:04,30172,7479.0,2014-02-15 10:04:26,2014-02-15 10:06:18,10
2014-02-15 10:04:03,30175,7479.0,2014-02-15 10:06:22,2014-02-15 10:09:26,11
2014-02-15 10:05:37,30560,7479.0,2014-02-15 10:09:31,2014-02-15 10:14:15,11
2014-02-15 10:06:10,30560,6916.0,2014-02-15 10:09:36,2014-02-15 10:16:18,11
2014-02-15 10:08:18,30560,7479.0,2014-02-15 10:14:21,2014-02-15 10:20:05,11
2014-02-15 10:09:58,30560,8382.0,2014-02-15 10:14:25,2014-02-15 10:16:52,11
2014-02-15 10:13:44,30560,6916.0,2014-02-15 10:16:24,2014-02-15 10:20:13,11
2014-02-15 10:18:23,30175,8382.0,2014-02-15 10:18:24,2014-02-15 10:24:30,11
2014-02-15 10:19:01,30172,7479.0,2014-02-15 10:20:11,2014-02-15 10:21:48,10
2014-02-15 10:19:27,30560,7479.0,2014-02-15 10:21:53,2014-02-15 10:24:47,11
2014-02-15 10:23:01,30560,6916.0,2014-02-15 10:23:02,2014-02-15 10:26:54,11
2014-02-15 10:23:02,30175,8382.0,2014-02-15 10:24:36,2014-02-15 10:27:08,11
2014-02-15 10:24:18,30560,7479.0,0000-00-00 00:00:00,2014-02-15 10:24:47,11
2014-02-15 10:25:51,30560,7479.0,2014-02-15 10:25:52,2014-02-15 10:32:39,11
2014-02-15 10:27:39,30560,6916.0,2014-02-15 10:27:40,2014-02-15 10:28:14,11
2014-02-15 10:29:39,30560,8382.0,2014-02-15 10:29:40,2014-02-15 10:31:48,11
2014-02-15 10:30:19,30175,6916.0,2014-02-15 10:30:20,2014-02-15 10:35:30,11
2014-02-15 10:30:34,30172,8382.0,2014-02-15 10:31:54,2014-02-15 10:35:59,10
2014-02-15 10:32:05,30172,7479.0,2014-02-15 10:32:44,2014-02-15 10:39:27,10
2014-02-15 10:32:09,30175,6916.0,2014-02-15 10:35:35,2014-02-15 10:37:54,11
2014-02-15 10:35:11,30175,8382.0,2014-02-15 10:36:05,2014-02-15 10:42:39,11
2014-02-15 10:36:02,30175,6916.0,2014-02-15 10:37:59,2014-02-15 10:40:13,11
2014-02-15 10:50:47,30175,7479.0,2014-02-15 10:50:47,2014-02-15 10:56:54,11
2014-02-15 10:52:23,30175,6916.0,2014-02-15 10:52:24,2014-02-15 10:54:23,11
2014-02-15 10:52:40,30175,8382.0,2014-02-15 10:52:41,2014-02-15 10:58:34,11
2014-02-15 10:52:45,30560,6916.0,2014-02-15 10:54:29,2014-02-15 11:02:28,11
2014-02-15 10:53:17,30175,0.0,0000-00-00 00:00:00,2014-02-15 10:55:28,11
2014-02-15 10:54:30,30560,7479.0,2014-02-15 10:57:00,2014-02-15 11:04:14,11
2014-02-15 10:54:57,30560,8382.0,2014-02-15 10:58:40,2014-02-15 11:00:01,11
2014-02-15 11:00:36,30066,6916.0,2014-02-15 11:00:37,2014-02-15 11:02:24,4
2014-02-15 11:01:10,30175,8382.0,2014-02-15 11:01:11,2014-02-15 11:02:15,11
2014-02-15 11:01:24,30175,8588.0,2014-02-15 11:01:25,2014-02-15 11:06:21,11
2014-02-15 11:01:25,30560,8494.0,2014-02-15 11:01:25,2014-02-15 11:07:26,11
2014-02-15 11:08:23,30172,6971.0,2014-02-15 11:08:24,2014-02-15 11:09:52,10
2014-02-15 11:11:40,30172,8588.0,2014-02-15 11:11:41,2014-02-15 11:16:12,10
2014-02-15 11:15:07,30560,8382.0,2014-02-15 11:15:08,2014-02-15 11:20:27,11
2014-02-15 11:18:20,30175,8494.0,2014-02-15 11:18:21,2014-02-15 11:22:36,11
2014-02-15 11:19:34,30560,6971.0,2014-02-15 11:19:35,2014-02-15 11:21:35,11
2014-02-15 11:21:04,30175,7479.0,2014-02-15 11:21:05,2014-02-15 11:25:39,11
2014-02-15 11:22:12,30560,8588.0,2014-02-15 11:22:13,2014-02-15 11:23:27,11
2014-02-15 11:23:51,30560,8382.0,2014-02-15 11:23:52,2014-02-15 11:27:12,11
2014-02-15 11:25:35,30560,6971.0,2014-02-15 11:25:36,2014-02-15 11:30:46,11
2014-02-15 11:27:15,30560,8494.0,2014-02-15 11:27:16,2014-02-15 11:40:51,11
2014-02-15 11:27:40,30172,8588.0,2014-02-15 11:27:41,2014-02-15 11:33:32,10
2014-02-15 11:28:04,30175,7479.0,2014-02-15 11:28:05,2014-02-15 11:29:44,11
2014-02-15 11:32:50,30175,8382.0,2014-02-15 11:32:51,2014-02-15 11:39:48,11
2014-02-15 11:34:09,30179,7479.0,2014-02-15 11:34:10,2014-02-15 11:43:35,8
2014-02-15 11:34:49,30175,6971.0,2014-02-15 11:34:50,2014-02-15 11:36:48,11
2014-02-15 11:40:44,30066,8588.0,2014-02-15 11:40:44,2014-02-15 11:41:55,4
2014-02-15 11:40:46,30172,6971.0,2014-02-15 11:40:47,2014-02-15 11:41:33,10
2014-02-15 11:41:01,30172,8382.0,2014-02-15 11:41:02,2014-02-15 11:44:41,10
2014-02-15 11:41:54,30175,8494.0,2014-02-15 11:41:55,2014-02-15 11:47:25,11
2014-02-15 11:41:59,30172,8588.0,2014-02-15 11:41:59,2014-02-15 11:44:19,10
2014-02-15 11:42:37,30172,8382.0,2014-02-15 11:42:38,2014-02-15 11:47:50,10
