CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-05 08:00:38,30175,6944.0,2014-02-05 08:00:39,2014-02-05 08:07:29,99
2014-02-05 08:01:07,30560,6947.0,2014-02-05 08:01:08,2014-02-05 08:06:11,69
2014-02-05 08:02:46,30175,9506.0,2014-02-05 08:02:47,2014-02-05 08:05:11,99
2014-02-05 08:03:22,30175,6940.0,2014-02-05 08:03:23,2014-02-05 08:03:55,99
2014-02-05 08:03:25,30175,8076.0,2014-02-05 08:03:26,2014-02-05 08:05:03,99
2014-02-05 08:04:42,30175,9424.0,2014-02-05 08:04:43,2014-02-05 08:07:56,99
2014-02-05 08:05:12,30175,8189.0,2014-02-05 08:05:13,2014-02-05 08:06:21,99
2014-02-05 08:05:14,30560,7479.0,2014-02-05 08:05:15,2014-02-05 08:07:46,69
2014-02-05 08:05:18,30175,9502.0,2014-02-05 08:05:19,2014-02-05 08:19:44,99
2014-02-05 08:06:00,30175,9508.0,2014-02-05 08:06:01,2014-02-05 08:08:50,99
2014-02-05 08:06:17,30179,6935.0,2014-02-05 08:06:17,2014-02-05 08:08:54,77
2014-02-05 08:06:33,30560,7168.0,2014-02-05 08:06:34,2014-02-05 08:07:17,69
2014-02-05 08:06:36,30172,8514.0,2014-02-05 08:06:37,2014-02-05 08:07:01,68
2014-02-05 08:07:03,30175,9425.0,2014-02-05 08:07:04,2014-02-05 08:10:04,99
2014-02-05 08:07:09,30172,6940.0,2014-02-05 08:07:10,2014-02-05 08:10:52,68
2014-02-05 08:07:11,30175,8076.0,2014-02-05 08:07:12,2014-02-05 08:09:16,99
2014-02-05 08:07:20,30560,6947.0,2014-02-05 08:07:21,2014-02-05 08:08:23,69
2014-02-05 08:07:31,30179,9512.0,2014-02-05 08:07:32,2014-02-05 08:16:57,77
2014-02-05 08:07:54,30172,8189.0,2014-02-05 08:07:55,2014-02-05 08:12:11,68
2014-02-05 08:07:55,30560,8514.0,2014-02-05 08:07:56,2014-02-05 08:08:46,69
2014-02-05 08:08:17,30175,9506.0,2014-02-05 08:08:18,2014-02-05 08:11:14,99
2014-02-05 08:08:34,30560,6944.0,2014-02-05 08:08:35,2014-02-05 08:13:18,69
2014-02-05 08:08:49,30172,7479.0,2014-02-05 08:08:50,2014-02-05 08:16:57,68
2014-02-05 08:09:36,30175,9424.0,2014-02-05 08:09:37,2014-02-05 08:11:35,99
2014-02-05 08:09:53,30560,7168.0,2014-02-05 08:09:54,2014-02-05 08:10:16,69
2014-02-05 08:10:20,30560,6947.0,2014-02-05 08:10:21,2014-02-05 08:19:44,69
2014-02-05 08:10:50,30560,8514.0,2014-02-05 08:10:51,2014-02-05 08:12:47,69
2014-02-05 08:10:51,30175,9508.0,2014-02-05 08:10:52,2014-02-05 08:20:58,99
2014-02-05 08:10:58,30172,8076.0,2014-02-05 08:10:59,2014-02-05 08:13:22,68
2014-02-05 08:11:39,30560,6935.0,2014-02-05 08:11:40,2014-02-05 08:20:58,69
2014-02-05 08:12:11,30560,7168.0,2014-02-05 08:12:12,2014-02-05 08:12:46,69
2014-02-05 08:13:31,30179,9512.0,2014-02-05 08:13:32,2014-02-05 08:13:53,77
2014-02-05 08:13:37,30175,9425.0,2014-02-05 08:13:38,2014-02-05 08:15:33,99
2014-02-05 08:13:54,30560,6940.0,2014-02-05 08:13:55,2014-02-05 08:17:08,69
2014-02-05 08:14:55,30560,8189.0,2014-02-05 08:14:56,2014-02-05 08:17:44,69
2014-02-05 08:15:54,30175,9502.0,2014-02-05 08:15:55,2014-02-05 08:17:31,99
2014-02-05 08:16:31,30172,8514.0,2014-02-05 08:16:32,2014-02-05 08:17:31,68
2014-02-05 08:17:53,30172,7168.0,2014-02-05 08:17:54,2014-02-05 08:18:56,68
2014-02-05 08:19:10,30179,9506.0,2014-02-05 08:19:11,2014-02-05 08:24:53,77
2014-02-05 08:19:11,30172,6944.0,2014-02-05 08:19:11,2014-02-05 08:24:37,68
2014-02-05 08:19:24,30175,9424.0,2014-02-05 08:19:25,2014-02-05 08:21:33,99
2014-02-05 08:19:26,30175,9508.0,2014-02-05 08:19:27,2014-02-05 08:22:42,99
2014-02-05 08:19:40,30175,8076.0,2014-02-05 08:19:41,2014-02-05 08:26:05,99
2014-02-05 08:19:58,30175,9512.0,2014-02-05 08:19:59,2014-02-05 08:31:02,99
2014-02-05 08:19:59,30560,7479.0,2014-02-05 08:20:00,2014-02-05 08:20:02,69
2014-02-05 08:20:33,30175,9425.0,2014-02-05 08:20:34,2014-02-05 08:26:05,99
2014-02-05 08:20:42,30172,6940.0,2014-02-05 08:20:43,2014-02-05 08:23:14,68
2014-02-05 08:20:51,30560,6935.0,2014-02-05 08:20:52,2014-02-05 08:31:02,69
2014-02-05 08:22:09,30560,8514.0,2014-02-05 08:22:10,2014-02-05 08:22:28,69
2014-02-05 08:22:32,30175,9502.0,2014-02-05 08:22:34,2014-02-05 08:35:13,99
2014-02-05 08:22:44,30560,8189.0,2014-02-05 08:22:45,2014-02-05 08:22:48,69
2014-02-05 08:23:05,30560,6947.0,2014-02-05 08:23:06,2014-02-05 08:35:13,69
2014-02-05 08:25:02,30560,7168.0,2014-02-05 08:25:03,2014-02-05 08:29:07,69
2014-02-05 08:25:13,30560,7479.0,2014-02-05 08:25:14,2014-02-05 08:31:06,69
2014-02-05 08:25:40,30560,8514.0,2014-02-05 08:25:41,2014-02-05 08:26:02,69
2014-02-05 08:26:27,30560,8189.0,2014-02-05 08:26:27,2014-02-05 08:34:48,69
2014-02-05 08:27:31,30560,6940.0,2014-02-05 08:27:32,2014-02-05 08:29:52,69
2014-02-05 08:28:20,30560,6944.0,2014-02-05 08:28:21,2014-02-05 08:34:42,69
2014-02-05 08:28:28,30560,6935.0,2014-02-05 08:28:29,2014-02-05 08:30:27,69
2014-02-05 08:28:49,30175,9512.0,2014-02-05 08:28:50,2014-02-05 08:29:53,99
2014-02-05 08:29:19,30175,9424.0,2014-02-05 08:29:20,2014-02-05 08:30:41,99
2014-02-05 08:29:23,30560,8076.0,2014-02-05 08:29:24,2014-02-05 08:34:07,69
2014-02-05 08:29:48,30175,9508.0,2014-02-05 08:29:49,2014-02-05 08:31:31,99
2014-02-05 08:31:44,30560,6947.0,2014-02-05 08:31:45,2014-02-05 08:34:14,69
2014-02-05 08:31:45,30175,9502.0,2014-02-05 08:31:46,2014-02-05 08:37:17,99
2014-02-05 08:32:41,30179,9425.0,2014-02-05 08:32:42,2014-02-05 08:36:49,77
2014-02-05 08:32:43,30172,6993.0,2014-02-05 08:32:44,2014-02-05 08:37:17,68
2014-02-05 08:32:48,30560,7168.0,2014-02-05 08:32:49,2014-02-05 08:34:34,69
2014-02-05 08:33:23,30175,9426.0,2014-02-05 08:33:24,2014-02-05 08:38:46,99
2014-02-05 08:33:29,30560,6940.0,2014-02-05 08:33:30,2014-02-05 08:43:10,69
2014-02-05 08:33:33,30175,9515.0,2014-02-05 08:33:34,2014-02-05 08:39:40,99
2014-02-05 08:34:25,30172,8391.0,2014-02-05 08:34:26,2014-02-05 08:37:08,68
2014-02-05 08:34:29,30560,9341.0,2014-02-05 08:34:30,2014-02-05 08:50:19,69
2014-02-05 08:34:49,30172,8191.0,2014-02-05 08:34:50,2014-02-05 08:36:58,68
2014-02-05 08:34:58,30175,9512.0,2014-02-05 08:34:59,2014-02-05 08:41:07,99
2014-02-05 08:35:10,30175,9434.0,2014-02-05 08:35:11,2014-02-05 08:35:21,99
2014-02-05 08:35:19,30175,9514.0,2014-02-05 08:35:20,2014-02-05 08:38:55,99
2014-02-05 08:35:20,30560,6935.0,2014-02-05 08:35:21,2014-02-05 08:41:00,69
2014-02-05 08:35:35,30560,7479.0,2014-02-05 08:35:36,2014-02-05 08:40:42,69
2014-02-05 08:35:37,30172,8721.0,2014-02-05 08:35:38,2014-02-05 08:36:24,68
2014-02-05 08:35:51,30560,8190.0,2014-02-05 08:35:51,2014-02-05 08:37:07,69
2014-02-05 08:36:04,30175,9424.0,2014-02-05 08:36:05,2014-02-05 08:37:28,99
2014-02-05 08:36:08,30175,9506.0,2014-02-05 08:36:09,2014-02-05 08:38:00,99
2014-02-05 08:36:15,30560,8076.0,2014-02-05 08:36:16,2014-02-05 08:47:36,69
2014-02-05 08:36:27,30175,9508.0,2014-02-05 08:36:28,2014-02-05 08:39:25,99
2014-02-05 08:36:38,30175,9502.0,2014-02-05 08:36:39,2014-02-05 08:42:05,99
2014-02-05 08:36:52,30175,6947.0,2014-02-05 08:36:53,2014-02-05 08:41:25,99
2014-02-05 08:36:58,30560,7168.0,2014-02-05 08:36:59,2014-02-05 08:40:51,69
2014-02-05 08:37:04,30560,6944.0,2014-02-05 08:37:05,2014-02-05 08:41:07,69
2014-02-05 08:37:21,30179,8189.0,2014-02-05 08:37:21,2014-02-05 08:40:53,77
2014-02-05 08:37:27,30175,9434.0,2014-02-05 08:37:28,2014-02-05 08:44:07,99
2014-02-05 08:39:32,30172,8721.0,2014-02-05 08:39:33,2014-02-05 08:46:28,68
2014-02-05 08:39:39,30560,8191.0,2014-02-05 08:39:40,2014-02-05 08:43:39,69
2014-02-05 08:39:39,30560,8190.0,2014-02-05 08:39:40,2014-02-05 08:43:46,69
2014-02-05 08:39:46,30560,8391.0,2014-02-05 08:39:47,2014-02-05 08:44:31,69
2014-02-05 08:39:48,30175,9425.0,2014-02-05 08:39:49,2014-02-05 08:43:29,99
2014-02-05 08:40:17,30175,6993.0,2014-02-05 08:40:18,2014-02-05 08:41:09,99
2014-02-05 08:40:21,30560,8514.0,2014-02-05 08:40:22,2014-02-05 08:45:17,69
2014-02-05 08:40:22,30175,9424.0,2014-02-05 08:40:23,2014-02-05 08:42:48,99
2014-02-05 08:40:33,30560,8076.0,2014-02-05 08:40:34,2014-02-05 08:44:41,69
2014-02-05 08:40:36,30560,7479.0,2014-02-05 08:40:48,2014-02-05 08:46:59,69
2014-02-05 08:40:44,30172,7168.0,2014-02-05 08:40:57,2014-02-05 08:43:39,68
2014-02-05 08:40:44,30172,8189.0,2014-02-05 08:40:55,2014-02-05 08:46:17,68
2014-02-05 08:40:55,30172,6935.0,2014-02-05 08:41:06,2014-02-05 08:45:57,68
2014-02-05 08:40:55,30179,9512.0,2014-02-05 08:40:56,2014-02-05 08:41:47,77
2014-02-05 08:40:58,30179,9506.0,2014-02-05 08:40:59,2014-02-05 08:45:35,77
2014-02-05 08:41:02,30560,6944.0,2014-02-05 08:41:13,2014-02-05 08:43:48,69
2014-02-05 08:41:25,30175,9426.0,2014-02-05 08:41:26,2014-02-05 08:42:17,99
2014-02-05 08:41:34,30172,6993.0,2014-02-05 08:41:35,2014-02-05 08:46:04,68
2014-02-05 08:41:46,30175,9514.0,2014-02-05 08:41:47,2014-02-05 08:44:23,99
2014-02-05 08:42:03,30175,9508.0,2014-02-05 08:42:04,2014-02-05 08:43:28,99
2014-02-05 08:42:07,30172,6947.0,2014-02-05 08:42:08,2014-02-05 08:45:35,68
2014-02-05 08:42:12,30172,0.0,0000-00-00 00:00:00,2014-02-05 08:42:15,68
2014-02-05 08:42:38,30175,9515.0,2014-02-05 08:42:39,2014-02-05 08:46:58,99
2014-02-05 08:42:38,30175,9512.0,2014-02-05 08:42:39,2014-02-05 08:42:43,99
2014-02-05 08:42:41,30175,9502.0,2014-02-05 08:42:42,2014-02-05 08:49:35,99
2014-02-05 08:42:45,30175,9426.0,2014-02-05 08:42:46,2014-02-05 08:43:47,99
2014-02-05 08:42:58,30560,6940.0,2014-02-05 08:43:16,2014-02-05 08:52:17,69
2014-02-05 08:43:00,30179,9506.0,2014-02-05 08:43:01,2014-02-05 08:43:46,77
2014-02-05 08:44:04,30560,7168.0,2014-02-05 08:44:05,2014-02-05 08:47:46,69
2014-02-05 08:44:19,30172,8191.0,2014-02-05 08:44:20,2014-02-05 08:49:35,68
2014-02-05 08:44:21,30560,8190.0,2014-02-05 08:44:22,2014-02-05 08:47:01,69
2014-02-05 08:45:09,30179,9424.0,2014-02-05 08:45:10,2014-02-05 08:55:07,77
2014-02-05 08:45:53,30560,6944.0,2014-02-05 08:45:53,2014-02-05 08:50:01,69
2014-02-05 08:46:07,30175,9512.0,2014-02-05 08:46:08,2014-02-05 08:51:12,99
2014-02-05 08:46:21,30560,8076.0,2014-02-05 08:46:22,2014-02-05 08:49:00,69
2014-02-05 08:46:29,30175,9425.0,2014-02-05 08:46:30,2014-02-05 08:50:08,99
2014-02-05 08:46:43,30560,8514.0,2014-02-05 08:46:44,2014-02-05 08:46:58,69
2014-02-05 08:46:53,30175,9508.0,2014-02-05 08:46:53,2014-02-05 08:49:05,99
2014-02-05 08:46:56,30175,9506.0,2014-02-05 08:46:57,2014-02-05 08:50:56,99
2014-02-05 08:46:59,30175,9434.0,2014-02-05 08:47:00,2014-02-05 08:49:36,99
2014-02-05 08:47:14,30175,9514.0,2014-02-05 08:47:15,2014-02-05 08:47:42,99
2014-02-05 08:47:18,30175,9502.0,2014-02-05 08:47:19,2014-02-05 08:50:50,99
2014-02-05 08:47:23,30066,6947.0,2014-02-05 08:47:24,2014-02-05 08:47:27,48
2014-02-05 08:47:28,30175,6993.0,2014-02-05 08:47:29,2014-02-05 08:55:31,99
2014-02-05 08:47:31,30172,8189.0,2014-02-05 08:47:32,2014-02-05 08:50:56,68
2014-02-05 08:47:36,30560,8721.0,2014-02-05 08:47:37,2014-02-05 08:50:17,69
2014-02-05 08:47:36,30175,9515.0,2014-02-05 08:47:37,2014-02-05 08:49:04,99
2014-02-05 08:47:38,30175,7479.0,2014-02-05 08:47:39,2014-02-05 08:50:47,99
2014-02-05 08:47:41,30175,8190.0,2014-02-05 08:47:42,2014-02-05 09:00:44,99
2014-02-05 08:47:41,30560,8514.0,2014-02-05 08:47:42,2014-02-05 08:48:25,69
2014-02-05 08:48:09,30560,6947.0,2014-02-05 08:48:10,2014-02-05 08:54:53,69
2014-02-05 08:48:20,30172,7168.0,2014-02-05 08:48:21,2014-02-05 08:50:37,68
