CallArrivalTime,ServiceID,AgentID,AnsweredTime,CallDepartureTime,number_of_agent
2014-02-19 08:01:11,30175,6968.0,2014-02-19 08:01:12,2014-02-19 08:04:42,92
2014-02-19 08:01:14,30175,8483.0,2014-02-19 08:01:15,2014-02-19 08:02:56,92
2014-02-19 08:01:49,30175,9512.0,2014-02-19 08:01:50,2014-02-19 08:07:16,92
2014-02-19 08:03:03,30172,6940.0,2014-02-19 08:03:04,2014-02-19 08:05:36,66
2014-02-19 08:03:38,30175,9424.0,2014-02-19 08:03:39,2014-02-19 08:05:06,92
2014-02-19 08:03:41,30560,6987.0,2014-02-19 08:03:42,2014-02-19 08:08:04,68
2014-02-19 08:05:44,30175,9575.0,2014-02-19 08:05:45,2014-02-19 08:09:13,92
2014-02-19 08:05:46,30175,8076.0,2014-02-19 08:05:47,2014-02-19 08:08:50,92
2014-02-19 08:06:57,30172,8189.0,2014-02-19 08:06:58,2014-02-19 08:13:19,66
2014-02-19 08:07:11,30175,9508.0,2014-02-19 08:07:12,2014-02-19 08:10:01,92
2014-02-19 08:08:07,30172,8514.0,2014-02-19 08:08:07,2014-02-19 08:08:17,66
2014-02-19 08:08:23,30560,6947.0,2014-02-19 08:08:24,2014-02-19 08:13:24,68
2014-02-19 08:08:25,30560,6945.0,2014-02-19 08:08:26,2014-02-19 08:13:41,68
2014-02-19 08:08:44,30172,6944.0,2014-02-19 08:08:45,2014-02-19 08:09:30,66
2014-02-19 08:09:08,30172,8483.0,2014-02-19 08:09:09,2014-02-19 08:14:45,66
2014-02-19 08:09:11,30172,6968.0,2014-02-19 08:09:12,2014-02-19 08:14:27,66
2014-02-19 08:09:26,30175,9425.0,2014-02-19 08:09:27,2014-02-19 08:12:35,92
2014-02-19 08:10:04,30560,6940.0,2014-02-19 08:10:05,2014-02-19 08:12:35,68
2014-02-19 08:10:14,30175,9502.0,2014-02-19 08:10:15,2014-02-19 08:15:19,92
2014-02-19 08:13:39,30172,6987.0,2014-02-19 08:13:40,2014-02-19 08:17:20,66
2014-02-19 08:15:17,30175,9424.0,2014-02-19 08:15:18,2014-02-19 08:23:50,92
2014-02-19 08:16:36,30560,8514.0,2014-02-19 08:16:37,2014-02-19 08:20:34,68
2014-02-19 08:16:48,30175,9512.0,2014-02-19 08:16:49,2014-02-19 08:17:32,92
2014-02-19 08:17:01,30175,8076.0,2014-02-19 08:17:02,2014-02-19 08:20:19,92
2014-02-19 08:17:22,30175,9575.0,2014-02-19 08:17:22,2014-02-19 08:24:36,92
2014-02-19 08:17:30,30175,6944.0,2014-02-19 08:17:31,2014-02-19 08:18:33,92
2014-02-19 08:18:05,30172,6935.0,2014-02-19 08:18:06,2014-02-19 08:24:03,66
2014-02-19 08:18:14,30560,6940.0,2014-02-19 08:18:15,2014-02-19 08:23:50,68
2014-02-19 08:19:21,30560,8189.0,2014-02-19 08:19:22,2014-02-19 08:20:33,68
2014-02-19 08:19:42,30560,6947.0,2014-02-19 08:19:43,2014-02-19 08:23:47,68
2014-02-19 08:20:41,30172,6968.0,2014-02-19 08:20:42,2014-02-19 08:22:28,66
2014-02-19 08:20:49,30560,6945.0,2014-02-19 08:20:50,2014-02-19 08:22:47,68
2014-02-19 08:21:39,30560,8483.0,2014-02-19 08:21:40,2014-02-19 08:25:30,68
2014-02-19 08:22:05,30560,6987.0,2014-02-19 08:22:06,2014-02-19 08:25:17,68
2014-02-19 08:23:08,30172,6944.0,2014-02-19 08:23:09,2014-02-19 08:36:46,66
2014-02-19 08:25:01,30175,9508.0,2014-02-19 08:25:02,2014-02-19 08:30:13,92
2014-02-19 08:25:04,30172,8076.0,2014-02-19 08:25:05,2014-02-19 08:28:43,66
